iter	Passed	Remaining
399	39279	9819
400	39372	9720
401	39469	9621
402	39571	9524
403	39673	9427
404	39755	9325
405	39845	9225
406	39943	9127
407	40032	9026
408	40143	8931
409	40248	8835
410	40356	8739
411	40457	8641
412	40556	8543
413	40663	8447
414	40767	8349
415	40867	8252
416	40976	8155
417	41074	8057
418	41183	7961
419	41306	7867
420	41396	7767
421	41498	7670
422	41589	7570
423	41686	7472
424	41769	7371
425	41854	7270
426	41952	7172
427	42047	7073
428	42155	6976
429	42257	6879
430	42349	6779
431	42441	6680
432	42540	6582
433	42644	6485
434	42736	6385
435	42824	6286
436	42921	6187
437	43020	6089
438	43117	5991
439	43228	5894
440	43311	5794
441	43406	5695
442	43535	5601
443	43625	5502
444	43725	5404
445	43817	5305
446	43903	5205
447	43999	5107
448	44101	5009
449	44205	4911
450	44324	4815
451	44420	4717
452	44513	4618
453	44628	4521
454	44737	4424
455	44842	4326
456	44932	4227
457	45028	4129
458	45121	4030
459	45233	3933
460	45346	3836
461	45447	3738
462	45575	3642
463	45659	3542
464	45782	3445
465	45860	3346
466	45972	3248
467	46075	3150
468	46202	3053
469	46305	2955
470	46404	2857
471	46505	2758
472	46607	2660
473	46742	2563
474	46835	2465
475	46922	2365
476	47009	2266
477	47098	2167
478	47195	2069
479	47318	1971
480	47421	1873
481	47529	1774
482	47641	1676
483	47756	1578
484	47853	1479
485	47970	1381
486	48083	1283
487	48164	1184
488	48258	1085
489	48378	987
490	48482	888
491	48581	789
492	48687	691
493	48788	592
494	48877	493
495	48980	395
496	49073	296
497	49188	197
498	49312	98
499	49422	0
