iter	MultiClass
117	0.2177786331
118	0.2175280838
119	0.2172181796
120	0.2170333595
121	0.2167449031
122	0.216394816
123	0.2161516396
124	0.2159061978
125	0.2154005442
126	0.215150494
127	0.2149421775
128	0.2147379481
129	0.2144978416
130	0.2141429509
131	0.2138204946
132	0.2136379967
133	0.2133738717
134	0.2131670256
135	0.2128788498
136	0.2126553518
137	0.2125161243
138	0.2123073504
139	0.2121485153
140	0.2117110021
141	0.2115458316
142	0.2112812686
143	0.211130243
144	0.2108432131
145	0.2106853411
146	0.2104964606
147	0.2102600649
148	0.2101515219
149	0.2099354009
150	0.2097055275
151	0.2094850648
152	0.2092660667
153	0.2091312889
154	0.2089580912
155	0.2087841907
156	0.2085372989
157	0.2083594413
158	0.2082623155
159	0.2079223448
160	0.2077623299
161	0.2075396371
162	0.2074480966
163	0.2072612384
164	0.2070408832
165	0.2068636052
166	0.2068064029
167	0.2066458942
168	0.2065445258
169	0.2063631031
170	0.2062109043
171	0.2060616473
172	0.2058200163
173	0.2056811997
174	0.2054557274
175	0.2053287414
176	0.2051417078
177	0.2049601408
178	0.2047733513
179	0.2046145279
180	0.2045231139
181	0.2044626363
182	0.2043242869
183	0.2041549891
184	0.2040482238
185	0.2039439268
186	0.2037832523
187	0.2035496229
188	0.203323317
189	0.2031551409
190	0.2030486154
191	0.2028886037
192	0.2026882821
193	0.2024875124
194	0.2022580937
195	0.2021266392
196	0.2019614942
197	0.2018073089
198	0.2016795537
199	0.20157068
200	0.2014120898
201	0.2012657005
202	0.2011391754
203	0.2009273514
204	0.2008007892
205	0.2006649909
206	0.2005280396
207	0.2004041468
208	0.2002585618
209	0.2000890284
210	0.1999992636
211	0.1998087044
212	0.1996123726
213	0.1994133865
214	0.199214518
215	0.1989649937
216	0.1987605828
217	0.1985373215
218	0.1983976714
219	0.1981059324
220	0.1979642018
221	0.1978325526
222	0.197671861
223	0.1974825519
224	0.1974224785
225	0.1973514299
226	0.1971322894
227	0.1969596237
228	0.1968326191
229	0.196646313
230	0.1965010793
231	0.1963221384
232	0.1960659529
233	0.1959484466
234	0.1958306303
235	0.1956954302
236	0.1954464555
237	0.1952955607
238	0.1951651067
239	0.1949907777
240	0.194874516
241	0.1946127948
242	0.1945085863
243	0.1943728217
244	0.1942161287
245	0.1940842257
246	0.1939627
247	0.1939109977
248	0.1937710588
249	0.1936474065
250	0.1935308024
251	0.1934086946
252	0.1933080121
253	0.1931473168
254	0.1929986714
255	0.192806035
256	0.1926471726
257	0.1925647012
258	0.192480248
259	0.1923994293
260	0.1922611571
261	0.1920846838
262	0.1919511236
263	0.1918211895
264	0.1916446513
265	0.1915334083
266	0.1914111064
267	0.1913045598
268	0.1911841424
269	0.1911209171
270	0.1910019427
271	0.1909297392
272	0.1907319102
273	0.1906601917
274	0.1905676954
275	0.1904512566
276	0.1902712202
277	0.1901115547
278	0.1899464834
279	0.1898482808
280	0.1897739989
281	0.1895703801
282	0.1894867508
283	0.1893509283
284	0.1892248795
285	0.1891052079
286	0.1889869647
287	0.188796105
288	0.1887223329
289	0.1884814644
290	0.1884023456
291	0.1883101956
292	0.1882283644
293	0.1881353118
294	0.1880391085
295	0.1879688064
296	0.1878916883
297	0.1877951952
298	0.1877361459
299	0.1876244191
300	0.1874871254
301	0.187385227
302	0.1872499071
303	0.1871107857
304	0.1869715027
305	0.1868020256
306	0.1866629207
307	0.1865636812
308	0.1864504099
309	0.1863140269
310	0.1861717878
311	0.1860413994
312	0.1859459203
313	0.1858535049
314	0.1857513252
315	0.1856020342
316	0.1854947477
317	0.1854661926
318	0.1853705493
319	0.18527986
320	0.185199742
321	0.1851171451
322	0.1849684102
323	0.1849393959
324	0.1848443577
325	0.1847567542
326	0.1847046663
327	0.1845649955
328	0.184487769
329	0.184407123
330	0.1843026111
331	0.1842478997
332	0.1841659321
333	0.184033369
334	0.1839662943
335	0.1839020241
336	0.1837428052
337	0.1836527611
338	0.1835033018
339	0.1833863707
340	0.1832306926
341	0.1831659642
342	0.182981944
343	0.1828629028
344	0.1827596046
345	0.182654742
346	0.18257233
347	0.1824660792
348	0.1823577666
349	0.1822626581
350	0.1821568163
351	0.1820348869
352	0.1819275843
353	0.1818685272
354	0.1817798158
355	0.1816708575
356	0.1816333964
357	0.181552658
358	0.1815054309
359	0.1814166237
360	0.1813235741
361	0.1812375993
362	0.1810980542
363	0.181022799
364	0.1809520118
365	0.1809028024
366	0.1808250612
367	0.1807376441
368	0.1806574966
369	0.1805882575
370	0.1805104759
371	0.1804253715
372	0.180289713
373	0.1801755219
374	0.1801226403
375	0.1800440166
376	0.1799219797
377	0.1798568104
378	0.1797664031
379	0.1796722696
380	0.1795635016
381	0.1794551742
382	0.1793930831
383	0.1793128104
384	0.1792108526
385	0.1791405634
386	0.1790099239
387	0.1789381752
388	0.1788315534
389	0.1787729983
390	0.1786766177
391	0.1785520909
392	0.1784967002
393	0.1784481086
394	0.1784048134
395	0.1783341836
396	0.1782021845
397	0.1781245831
398	0.1780712007
399	0.1779585002
400	0.1779043107
401	0.1777832663
402	0.1777181799
403	0.1776182286
404	0.1775848265
405	0.1775143802
406	0.1774108626
407	0.1773778978
408	0.1773185376
409	0.1772615068
410	0.1770487977
411	0.1769577357
412	0.1769139468
413	0.1768600662
414	0.1767084438
415	0.1766372712
416	0.1765727337
417	0.1764951373
418	0.1764152629
419	0.1763108963
420	0.1762717639
421	0.176195842
422	0.1761420763
423	0.1759903616
424	0.1759131992
425	0.1758639358
426	0.1758382586
427	0.1757665755
428	0.1756901259
429	0.1755870303
430	0.175521665
431	0.1754187796
432	0.1753760138
433	0.1752802757
434	0.1752503
435	0.1751601909
436	0.1750051394
437	0.17493113
438	0.1748176532
439	0.1747633269
440	0.1746844804
441	0.1745799795
442	0.1745477855
443	0.1744844672
444	0.1743441743
445	0.1742215573
446	0.1741200676
447	0.1739474408
448	0.1738454551
449	0.1737981046
450	0.1737180009
451	0.1736627766
452	0.1735669696
453	0.1735107795
454	0.1734483105
455	0.1733204861
456	0.1732626474
457	0.1731995704
458	0.1731393844
459	0.1730288424
460	0.1729810672
461	0.17293398
462	0.1728488556
463	0.1727780378
464	0.1727294672
465	0.1726605285
466	0.1725740556
467	0.1725039122
468	0.1724401409
469	0.1723921455
470	0.1723336895
471	0.1722716889
472	0.1721879636
473	0.1720991248
474	0.1720363764
475	0.1719646954
476	0.1718790502
477	0.1717997927
478	0.1717298857
479	0.1716826188
480	0.1715628461
481	0.171455387
482	0.1713940934
483	0.1713085741
484	0.1712409731
485	0.1711940221
486	0.1711494093
487	0.17106173
488	0.1709864398
489	0.1708969576
490	0.1708291308
491	0.1707641129
492	0.1707049756
493	0.1706189478
494	0.1705607882
495	0.1705099014
496	0.170460208
497	0.1704099567
498	0.1703229844
499	0.1702160302
